blockchain,date,created_safes
ethereum,2023-05-31,81
ethereum,2023-06-01,100
ethereum,2023-06-02,105
ethereum,2023-06-03,76
ethereum,2023-06-04,94
ethereum,2023-06-05,117
ethereum,2023-06-06,97
ethereum,2023-06-07,104
ethereum,2023-06-08,115
ethereum,2023-06-09,104
ethereum,2023-06-10,89
ethereum,2023-06-11,122
ethereum,2023-06-12,280
fantom,2023-04-13,8
fantom,2023-04-14,4
fantom,2023-04-15,3
fantom,2023-04-16,4831
fantom,2023-04-17,1
fantom,2023-04-18,1
fantom,2023-04-20,2
fantom,2023-04-21,3
fantom,2023-04-22,3
fantom,2023-04-24,3
fantom,2023-04-25,2
fantom,2023-04-26,6
fantom,2023-04-27,1
fantom,2023-04-28,1
fantom,2023-04-29,1
fantom,2023-04-30,2
fantom,2023-05-04,4
fantom,2023-05-08,3
fantom,2023-05-10,1
fantom,2023-05-11,2
fantom,2023-05-12,2
fantom,2023-05-16,3
fantom,2023-05-19,1
fantom,2023-05-23,1
fantom,2023-05-24,2
fantom,2023-05-29,2
fantom,2023-05-30,3
fantom,2023-06-01,6
fantom,2023-06-03,1
fantom,2023-06-05,2
fantom,2023-06-06,4
fantom,2023-06-09,1
fantom,2023-06-10,1
fantom,2023-06-12,1
gnosis,2023-04-13,339
gnosis,2023-04-14,2051
gnosis,2023-04-15,447
gnosis,2023-04-16,300
gnosis,2023-04-17,254
gnosis,2023-04-18,179
gnosis,2023-04-19,4466
gnosis,2023-04-20,389
gnosis,2023-04-21,1733
gnosis,2023-04-22,209
gnosis,2023-04-23,237
gnosis,2023-04-24,207
gnosis,2023-04-25,349
gnosis,2023-04-26,159
gnosis,2023-04-27,118
gnosis,2023-04-28,192
gnosis,2023-04-29,115
gnosis,2023-04-30,115
gnosis,2023-05-01,98
gnosis,2023-05-02,84
gnosis,2023-05-03,117
gnosis,2023-05-04,80
gnosis,2023-05-05,65
gnosis,2023-05-06,86
gnosis,2023-05-07,58
gnosis,2023-05-08,106
gnosis,2023-05-09,88
gnosis,2023-05-10,80
gnosis,2023-05-11,85
gnosis,2023-05-12,101
gnosis,2023-05-13,98
gnosis,2023-05-14,202
gnosis,2023-05-15,85
gnosis,2023-05-16,72
gnosis,2023-05-17,120
gnosis,2023-05-18,98
gnosis,2023-05-19,67
gnosis,2023-05-20,45
gnosis,2023-05-21,45
gnosis,2023-05-22,43
gnosis,2023-05-23,36
gnosis,2023-05-24,37
gnosis,2023-05-25,46
gnosis,2023-05-26,55
gnosis,2023-05-27,42
gnosis,2023-05-28,47
gnosis,2023-05-29,70
gnosis,2023-05-30,65
gnosis,2023-05-31,42
gnosis,2023-06-01,55
gnosis,2023-06-02,49
gnosis,2023-06-03,61
