blockchain,date,safe_txs
gnosis,2023-06-11 00:00:00.000 UTC,442
gnosis,2023-06-12 00:00:00.000 UTC,865
gnosis,2023-06-13 00:00:00.000 UTC,600
gnosis,2023-06-14 00:00:00.000 UTC,774
gnosis,2023-06-15 00:00:00.000 UTC,473
gnosis,2023-06-16 00:00:00.000 UTC,651
gnosis,2023-06-17 00:00:00.000 UTC,362
gnosis,2023-06-18 00:00:00.000 UTC,460
gnosis,2023-06-19 00:00:00.000 UTC,719
gnosis,2023-06-20 00:00:00.000 UTC,511
gnosis,2023-06-21 00:00:00.000 UTC,569
gnosis,2023-06-22 00:00:00.000 UTC,432
gnosis,2023-06-23 00:00:00.000 UTC,546
gnosis,2023-06-24 00:00:00.000 UTC,297
gnosis,2023-06-25 00:00:00.000 UTC,315
gnosis,2023-06-26 00:00:00.000 UTC,830
gnosis,2023-06-27 00:00:00.000 UTC,546
gnosis,2023-06-28 00:00:00.000 UTC,626
gnosis,2023-06-29 00:00:00.000 UTC,514
gnosis,2023-06-30 00:00:00.000 UTC,1129
gnosis,2023-07-01 00:00:00.000 UTC,349
gnosis,2023-07-02 00:00:00.000 UTC,696
gnosis,2023-07-03 00:00:00.000 UTC,941
gnosis,2023-07-04 00:00:00.000 UTC,1406
gnosis,2023-07-05 00:00:00.000 UTC,1290
gnosis,2023-07-06 00:00:00.000 UTC,1247
gnosis,2023-07-07 00:00:00.000 UTC,1679
gnosis,2023-07-08 00:00:00.000 UTC,1162
gnosis,2023-07-09 00:00:00.000 UTC,1463
gnosis,2023-07-10 00:00:00.000 UTC,1429
gnosis,2023-07-11 00:00:00.000 UTC,1580
gnosis,2023-07-12 00:00:00.000 UTC,1420
gnosis,2023-07-13 00:00:00.000 UTC,1673
gnosis,2023-07-14 00:00:00.000 UTC,772
gnosis,2023-07-15 00:00:00.000 UTC,1518
gnosis,2023-07-16 00:00:00.000 UTC,2100
gnosis,2023-07-17 00:00:00.000 UTC,1220
gnosis,2023-07-18 00:00:00.000 UTC,1376
gnosis,2023-07-19 00:00:00.000 UTC,1194
gnosis,2023-07-20 00:00:00.000 UTC,2245
gnosis,2023-07-21 00:00:00.000 UTC,1047
gnosis,2023-07-22 00:00:00.000 UTC,761
gnosis,2023-07-23 00:00:00.000 UTC,339
gnosis,2023-07-24 00:00:00.000 UTC,949
gnosis,2023-07-25 00:00:00.000 UTC,1051
gnosis,2023-07-26 00:00:00.000 UTC,1038
gnosis,2023-07-27 00:00:00.000 UTC,879
gnosis,2023-07-28 00:00:00.000 UTC,1543
